2	1.8690000000000001e-07	2.8175004880212533e-07
4	1.5490000000000002e-07	2.3568387725934930e-07
8	6.3150000000000001e-07	1.1613423483193923e-06
16	9.5739999999999993e-07	8.0804334042178706e-07
32	4.8573000000000009e-06	2.3344261414746022e-06
64	3.2321299999999998e-05	4.9651331512860750e-06
128	2.7595759999999995e-04	1.9400884166449742e-05
256	2.1416887000000003e-03	4.2198700072514063e-05
512	1.5682510099999998e-02	5.4842139976635652e-04
1024	1.1614571730000001e-01	5.0957100008498096e-04
2048	9.1794772520000012e-01	5.0504615671346977e-03
