2	1.9329999999999996e-07	2.9449212213572031e-07
4	1.5250000000000000e-07	2.2014052330273042e-07
8	5.9850000000000018e-07	1.1338335195256843e-06
16	1.1580000000000000e-06	1.2522385555476240e-06
32	4.8960000000000002e-06	2.3114708737079081e-06
64	2.5333499999999997e-05	2.0789794338809603e-05
128	1.7785500000000001e-04	2.0554350751118363e-05
256	1.1553836000000000e-03	3.7617999702801866e-05
512	7.8989553999999993e-03	1.2549069448305724e-04
1024	6.1392489099999989e-02	1.1835888301728302e-03
2048	4.7708993020000001e-01	2.2141428384690473e-03
