2	1.8779999999999997e-07	2.8639825418462310e-07
4	1.5599999999999999e-07	2.2345379835661778e-07
8	5.5749999999999996e-07	9.5191924552453529e-07
16	1.0867000000000001e-06	1.2453966476588893e-06
32	4.8148999999999994e-06	2.4697555121914392e-06
64	2.1555099999999996e-05	2.6938544542903572e-05
128	1.1978550000000000e-04	3.4030713061145223e-05
256	6.8170069999999995e-04	4.7388846512760788e-05
512	4.3422739000000005e-03	9.5577000887713565e-05
1024	3.2835513900000002e-02	5.3711476135914326e-04
2048	2.5179852439999995e-01	1.8141315050419244e-03
