2	1.8590000000000002e-07	2.7872690935752866e-07
4	1.9180000000000001e-07	3.4720190091645523e-07
8	5.7500000000000000e-07	1.0715499988334657e-06
16	1.1334999999999998e-06	1.3441204001130254e-06
32	4.9044000000000008e-06	2.3974324265763989e-06
64	2.3757499999999997e-05	3.2859176734209277e-05
128	1.1182320000000003e-04	4.7940755079159942e-05
256	4.9088929999999999e-04	5.4538138396997013e-05
512	3.0854421000000003e-03	7.1205463203372966e-04
1024	2.6588384399999998e-02	7.0780825906978546e-03
2048	1.4929782779999998e-01	1.9315864565956378e-02
